Id,Emotion,Sentence
2021,Sadness,buồn cô lắm
2022,Sadness,nó ốm nhom thương ghê :(
2023,Enjoyment,"làm bác sĩ sướng thật , bảo cở là cởi , bảo cưới là cưới . lắc đầu cái là cả nhà khóc ."
2024,Anger,như kiểu sắp bị hiếp dâm đến nơi vậy . tế sống luôn mấy thg lol 🙂 dcm
2025,Enjoyment,giọng chú hơi bị dễ thương nhá :))
2026,Disgust,ngửa thấy mùi là đã thấy kinh rồi
2027,Anger,ngu cho chết chứ nói con cặc gì
2028,Enjoyment,vâng chú ah haha
2029,Enjoyment,cặp nay dth ghê luôn 😍
2030,Sadness,cảm động quá hjxhjx
2031,Disgust,mày làm anh tao hơi lâu rồi đấy
2032,Other,tao không phân biệt được bà nội bà ngoại ??
2033,Disgust,ích kỉ quá đấy . vỉa vẻ thế kia ra vào vẫn bình thường nhé
2034,Disgust,suy thoái gớm nhỉ :))
2035,Sadness,cuộc sống mà mấy ai được trọn vẹn 😢😢
2036,Disgust,"ngta tạo nên video để giáo dục mấy ba ơi , mấy ba mấy má làm quá"
2037,Disgust,biết ngay sẽ chơi cái trò mất dạy này nhưng vẫn kiên trì xem tới cùng để thách thức bản thân có sợ hay không :))
2038,Surprise,cha con y chang nhau 😂 1 khuôn đúc ra
2039,Anger,giết nó ! làm ám ảnh cả cuộc đời học sinh .
2040,Sadness,"tụi mày có hiểu được cảm giác , muốn bắt chuyện mà không dám bắt không ?? tụi mày có hiểu được cảm giác vờ ngủ gục để nhìn nó không ?? tụi mày đã từng nhìn nó thật kỉ , thật tỉ mỉ chưa ?"
2041,Anger,chưa đâu ... nó mang bánh gato vào xong bôi đầy tường mới là cả một rổ của sự hloz
2042,Enjoyment,ngưỡng mộ quá đi ạ . chúc 2 ac mãi mãi hạnh phúc như này nha :)))
2043,Disgust,ăn 1 đống tiền phạt có 5tr . tội lợi dụng tín ngưỡng để lừa đảo xem chừng nhẹ tội nhỉ .
2044,Enjoyment,per đúng chất em lun hâha
2045,Enjoyment,năm nào chả vậy :)))
2046,Other,thua sự mặt dày của khách nên cho một xíu . :v
2047,Sadness,chuẩn đét . t nghỉ công ty cũ cũng vì đồng nghiệp 😭😭😭
2048,Enjoyment,"là thằng đàn ông phải có bản lĩnh từ khi còn bé , thay vì hay bắt nạt , quát tháo đàn bà thì hãy là người che chở , yêu thương !!!! mong con zai của mẹ sau này cũng như mấy anh này .!!!"
2049,Anger,cho ngay cốc bia vào mặt . nhố nhăng
2050,Other,sau quả sấm sáng cả trời thì gần như toàn khu phố mất điện
2051,Other,bà này bị âm đồ từ đêm qua đây mà ...
2052,Other,chỉ đi đường quen thôi ! đường nào lạ chỉ ngồi sau thôi =))
2053,Anger,"tát cho phát , đêm hôm mất con mẹ nó ngủ . ??"
2054,Sadness,xem xong tôi cảm thấy còn u ám hơn :))
2055,Disgust,đó là khi bạn làm cho hãng hoặc công tình yêu lớn tầm cở .... chứ quảng lý mấy shop quần áo có cái lol mà được 30tr :))
2056,Disgust,gớm vãi :)))
2057,Sadness,đi bao xa mới thoát đựoc kiếp không có người yêu ? :<
2058,Enjoyment,con lai xinh phết ??????
2059,Disgust,đây đây thiệt là hãm
2060,Sadness,đm lừa đảo hằng năm cả trăm tỉ . giờ phạt có 5 triệu :))) chán vãi
2061,Enjoyment,ở đâu cho tao làm vớiiiiii
2062,Sadness,"biết chỉ là phim thôi , xem con bé hôn bố lần cuối nước mắt tự rơi , híc híc"
2063,Sadness,chưa bao giờ b đến đích là gì cả
2064,Anger,lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt rhì trẻ cũng đã ăn rồi lũ mất nhân tính
2065,Other,hmmmmmmm não tao xoắn mẹ rồi
2066,Disgust,"chẳng bao giờ nhà bếp nó nấu đồ ngon cả , toàn thiu thối hoặc kém chất lượng nó mua về làm mới có lãi . trước làm với nhật nó còn bắt làm cho nó như cho công nhân ăn thì thời gian đầu được , đến khi đổi giám đốc là đéo nuốt nổi nữa"
2067,Enjoyment,khuôn mặt đậm chất giải trí 🙂
2068,Fear,moá nhìn rùng hết cả mình
2069,Sadness,em tìm link phim mà sao nó ra phim khác chứ không phải phim này zay mọi người 😞
2070,Disgust,5tr phạt làm cái lồng gì . phạt 500tr tội sỉ nhục lăng mạ người khác
2071,Other,bà ta đâu cư xử như 1 người vợ đâu !
2072,Enjoyment,per =))))) hahaaaa
2073,Fear,má ơi đây chính là thứ ám ảnh nhất cuộc đời con . kẻ thù 😢😢😢
2074,Disgust,"đúng rồi , ngưng ảo tưởng"
2075,Enjoyment,"chời , dễ thương quá"
2076,Fear,tuổi thơ tôi bị ám ảnh mấy con ngỗng này . mấy con màu xám cứ mỗi lần đi học ngang qua ngõ nhà hàng xóm là nó đuổi . tao lại chạy thục mạng . cứ phải đắn đo mỗi lần qua đó xem có chúng nó không rồi ù chạy như ma đuổi . haizz tuổi thơ tôi ....
2077,Enjoyment,anh em để tao hưởng trước nào
2078,Enjoyment,bán hàng online hồi năm cấp 3 :))) tháng hè ấy đi quanh hạnh phúc để giao hàng với bố . được lãi 4 tr :))))
2079,Disgust,ý thức kém quá ☹☹
2080,Disgust,"bọn phục vụ nhà bếp toàn là chó , chó mới ăn thịt thúi bẩn như vậy ."
2081,Disgust,đấy . người ta làm những video ý nghĩa . chứ không phải ba cái video xàm nhảm như cái đéo gì cũng cái kết . xàm .
2082,Other,thần tài cho chủ cửa hàng bán vàng chứ thần tài gì mình đâu
2083,Enjoyment,"hiện tại mình cần tìm người yêu , bạn nữ nào chưa có chồng hay chưa người yêu thì bình luận bên dưới để mình lựa một bạn may mắn nhất nhé :)))"
2084,Other,lỡ bị tào tháo rượt mà cái wc bên kia thì nhảy thế nào nhỉ
2085,Anger,"ra chỗ sóng không táp vào mà ghi , xem mà ức chế vãi :))"
2086,Enjoyment,chòi má nói chuyện tình vãi =))))
2087,Sadness,con gái hay ảo tưởng như vậy lắm 😌
2088,Disgust,nó cười mắc ỉa môi thì zoe lại lùn xấu vãi lại còn gầy nữa chứ haizz
2089,Sadness,không phải không thích mà bản thân chưa đủ tốt để sánh vai . phải chi anh có thể đợi em khôn lớn !
2090,Other,ông tóc ngắn ngắn cam cam tên gì vậy ạ ?
2091,Anger,tiên sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤
2092,Anger,đm ngu . cái nồi cơm điện chứ gì .
2093,Other,sai rồi nhá . có những thứ cha mẹ không có nhưng vì con họ vẫn cố gắng để có được nó
2094,Fear,hú hồn con chồn chạy ngang 😑
2095,Surprise,khi bạn bỗng nhiên nhận ra rằng có những bài hát phù hợp với từng khoảnh khắc riêng bên người đó :)
2096,Fear,mỗi lần về quê mà sắp sửa đi qua chuồng ngỗng tao phải cầm cây chổi lông gà mới đi được đấy dume . quơ quơ vòng vòng cho mấy đĩ ngỗng né xa ra rồi chạy thụt lol luôn :=]]]]
2097,Fear,tao ghét và tao sợ nó
2098,Anger,bán thì bán đi còn bảo bố mày bất hạnh . đéo thèm mua nữa 😑
2099,Enjoyment,lâu lắm rồi mới nge lại bài này ... vẫn thấy hay như ngày nào ...
2100,Enjoyment,chị ấy được đào tạo qua lớp người nhện bắn tơ nên không biết sợ 😂😂😂
2101,Disgust,1 từ ( nhạt )🙂
2102,Disgust,"có mồm để làm gì ? hay chỉ để cãi nhau , la hét ?"
2103,Enjoyment,hồi đó khoái cái này lắm
2104,Disgust,giọng anh khi mặc bộ záy màu hường thật kinh dị
2105,Anger,mày tin tao nhai đầu mày không
2106,Enjoyment,"yeahh , được mở lại fan cứng rồi =)))"
2107,Disgust,"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không"
2108,Enjoyment,có đứa nào xem mà thèm đi biển như tao không ?
2109,Enjoyment,tài năng cho làng đua xe đạp tương lai là đây chứ đâu ✌✌
2110,Enjoyment,"các bạn xem phim cậu bé đặc biệt , luôn nhé . phim có diển viên này tham gia nói về cách giáo dục con cái cực hay . chúc các bạn xem phim vui vẻ"
2111,Enjoyment,"per đọc vài dòng là lướt xuống cuối để xem có phải "" hi vọng câu chuyện mình vừa bịa ra ...."" nhưng không phải . kkk"
2112,Enjoyment,đây là câu khuyến mại điểm :)
2113,Sadness,nghe lại bài này thấy chột dạ vãi
2114,Enjoyment,"nói chung thánh này không ai ghét được , trừ hlv kkk , dễ thương gắp trăm thằng pogba ,,, mong cho thằng đó nhanh biến khỏi mu"
2115,Sadness,đi chơi xong về cũng buồn như chó cắn tiếp thôi
2116,Fear,haha mắc cười quá ... nhưng thật chúng mày là tao rất sợ rắn ...
2117,Enjoyment,dễ thương kinh khủng . bởi vậy mới nói mấy đứa yêu nhau là lầy nhất
2118,Surprise,tây cũng lầy phết
2119,Enjoyment,thanh niên leo lên cao để theo dõi thời tiết để thông báo cho người dân đi cấy thật cảm động
2120,Other,bao năm giải phóng như thế này phải không anh
2121,Enjoyment,vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :)))
2122,Disgust,"cưỡng hôn thì phạt 200 . lừa đảo , chiếm đoạt phạt nhằng 5 cu ( củ )."
2123,Fear,bà mẹ nó @@ xem rùng con mẹ nó mình hơn cả phim ma .
2124,Sadness,"mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra ."
2125,Fear,coi ảnh này nổi cả gai ốc
2126,Enjoyment,tao cười ỉa cho cái bọn ấy :)))
2127,Disgust,"đúng rồi đấy , như thế là đang mắc chứng ảo tưởng sức mạnh"
2128,Other,sừng mọc hồi nào không hay
2129,Other,câu này thấy sai sai
2130,Other,não bằng đá . không cần phải đội nón
2131,Disgust,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì
2132,Disgust,"cái thứ 2 mình thấy lạ lòn , bạn gái người ta ăn , quên chỉnh tóc . người ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái độ 😑😑"
2133,Disgust,"không chỉ bướng , mà còn rất lười :("
2134,Enjoyment,"nói gì , em trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm thấy nó cắt tóc xong là đứa nào chứ không phải em tao =)))))"
2135,Enjoyment,đáng yêu vãi =)))))
2136,Disgust,xạo xạo ... thằng cải suốt ngày bị nó dụ
2137,Disgust,khi mày dốt ngữ văn nhưng vẫn thích nói những câu đạo con mẹ nó lý
2138,Disgust,"học luật chưa mà nhắc sai về lí ? :3 , có cái nhà đấy là đường của nhà ông à :))"
2139,Other,kể mà nó biết cử độg vẫy vẫy nữa thì tuyệt con mẹ nó vời ??????
2140,Surprise,nhện to đến nổi chúng mày giật cả mình à :)
2141,Disgust,cho dân nhậu đi lùa 1 hôm thì đến con tép còn đéo còn nữa là hùm đất :))
2142,Anger,đù . bọn nuôi chó mà ve còn không bắt được cho nó thì đừng nên nuôi . bực
2143,Enjoyment,bản thân quá hạnh phúc khi trong cs này rất . rất nhiều người mơ ước được như mình hiện tại . 😊😊😊
2144,Anger,gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy
2145,Other,per cái mặt nhỏ đó gióng em :)) khi nghe tiếng súng
2146,Enjoyment,bài viết đọc rất sướng .
2147,Anger,dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa
2148,Surprise,"ngày xưa tự dưng mình được tận 8 , 75 ư =))))"
2149,Sadness,gãy tay
2150,Enjoyment,đợi nốt ván đã =))))))))
2151,Sadness,"nhớ quá , độ chục năm không đi soi ve rồi :(((("
2152,Enjoyment,t đã soi gương suốt ngày chỉ để gặp crush và ngắm nụ cười tỏa nắng của nó
2153,Enjoyment,per hồi đó mua điểm đại học nè 😂😂😂
2154,Anger,dume mất dạy
2155,Enjoyment,nào chàng trai có nhiều tài hãy cho em gục ngã đi nào =))
2156,Disgust,nó chỉ là phép lịch sự . ngưng ảo tưởng nha nha
2157,Anger,đm chạy ra xa mà viết đi 😈
2158,Disgust,"thằng tàu hoả lái dở , thấy xe đậu thì đánh lái né ra đường ray thi đâu có va chạm hư ô tô"
2159,Enjoyment,người ta thôi chứ vợ mình là số 1 . mình chưa bao giờ chê . 😍😍😍
2160,Enjoyment,"mê chơi lọt cóng nè , nhìn vẻ mặt hp của nó mình cũng thấy vui theo"
2161,Enjoyment,"và cứ mỗi lần mày muốn thấy crush cười , mày lại chạy lại cái gương"
2162,Disgust,kinh dị vãi
2163,Anger,mẹ cái lũ thầu nấu ăn cho trẻ con . ai cũng bảo chúng mày nấu 1 năm có có hàng tỉ tiền . mẫu giáo còn hại được thì cấp 1 tha gì .
2164,Enjoyment,per sau này con bư lớn cũng vậy đó mẹ hahaa
2165,Enjoyment,phim hay vãi ra . đến giờ vẫn thấy mình giống bạn ma nữ quá trời 😂😂😂
2166,Enjoyment,per nuôi đi anh còn kịp chả già mất 😂
2167,Enjoyment,per thông minh là đây chớ đâu
2168,Fear,t đã cố tình che mặt nhưng vẫn giật mình
2169,Fear,sư tử chứ dễ thương q . q gì
2170,Disgust,"mưa sấp mặt , về đi"
2171,Disgust,nhìn biến thái kinh khủng .
2172,Enjoyment,tầm tuổi này . họ không còn những áp lực cuộc sống nữa . mà chỉ còn thứ tình cảm gắn bó với họ từ những ngày khó khăn nhất . ngưỡng mộ và ước được chút phúc đức của ông bà
2173,Disgust,sếp như nào nữa còn sếp tôi thì như lònnnnnnn
2174,Anger,per tao nói rồi nha địt con mẹ mày
2175,Other,bình tĩnh vô cùng
2176,Enjoyment,haha . dễ thương gê 😊😘😘
2177,Other,thiết bị này mua như nào nhỉ
2178,Sadness,cậu bạn mẫu giáo năm ấy chép bài cho tao để tao khỏi bị thẻ tay giờ đang nơi đâu ???
2179,Sadness,thật là một câu chuyện buồn 😌
2180,Sadness,ng dân biết phải làm sao bệnh chồng bệnh
2181,Fear,em đừng đi tập gym em nhé . bth em đã mê trai lắm rồi . em mà đi tập nữa chị không biết em như thế nào luôn 😢 per
2182,Fear,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ
2183,Disgust,"con yêu nghiệt , tỏ cái vẻ đáng thương còn ăn vạ =)))"
2184,Other,cuộc tình ngang trái của nhà tớ đây ??
2185,Sadness,"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết ."
2186,Enjoyment,"úi sời , gần chỗ mình này"
2187,Enjoyment,vừa sếp vừa đồng nghiệp tốt thì đi làm như là đi chơi 💃 bonus 6h chưa hẳn đã muốn về
2188,Enjoyment,"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha"
2189,Enjoyment,per vui quá .. đi dạo được ven hồ rồi 🙂
2190,Enjoyment,per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa
2191,Other,cấm đỗ là việc của công an
2192,Anger,"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha"
2193,Enjoyment,nghe nguồn tao biết được độ chân thực của câu chuyện rồi 😂😂😂
2194,Disgust,"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia"
2195,Enjoyment,per giải trí =)))
2196,Enjoyment,< 3 chuyện lạ có thật :)))
2197,Enjoyment,cười vô mặt
2198,Other,cuộc sống mà .. ghi không được thì thôi . sao mấy bạn chửi người ta dữ vậy
2199,Enjoyment,per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂
2200,Sadness,đau bụng quá ự ự
2201,Enjoyment,lợi ích của việc giữ vững quan điểm 😄
2202,Sadness,thế này mà mày vẫn còn buồn thì ...
2203,Disgust,thấy mà nhớ lại quá . lúc còn sinh viên . di làm thêm ở quán kara . đm tụi nó tổ chức sinh nhật . rồi bày ra trang trí để tỏ tình . rồi quà bỏ xốp hột không trong đó . vừa xốp . vừa đèn cầy . vừa kim tuyến . bia . đồ ăn đồ . làm buổi có 40k mà dọn đúng là như thèn này chửi . dọn mún lòa lozzz ra lun . ức chế lắm
2204,Other,sáng nay tao mới thấy 2 con này đi cùng
2205,Enjoyment,bạn trai tao đéo biết giận dai nên không phải dỗ
2206,Surprise,tại sao lại phải che mặt vậy
2207,Sadness,án mà cứ xử như vậy thì sao có được lòng dân
2208,Disgust,thế tao mới quyết tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó
2209,Fear,sợ ngỗng còn hơn sợ chó :)))
2210,Disgust,"vậy thì tao sẽ ước mơ là các nhà thơ đừng bao giờ xài ẩn dụ , chơi chữ :) đã ngu văn còn bắt phân tích thấy mẹ luôn"
2211,Enjoyment,nhiê ̀ u biê ́ n đô ̣ người kha ́ thu ́ vi ̣ =))
2212,Sadness,"thương tra ̀ o nươ ́ c mă ́ tao ... cuô ́ i cu ̀ người thi ̀ ban la ̃ nh đa ̣ o bă ́ c ninh đa ̃ lên tiê ́ người giu ́ p đơ ̃ ca ́ c be ́, du ̀ qua ́ muô ̣ n @"
2213,Other,lấy giẻ lau xong vắt chắc cũng được nửa
2214,Enjoyment,ngày xưa mừn cũng hay thế lắm .
2215,Other,chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .
2216,Sadness,phận làm trai nào sung sướng gì 😂
2217,Enjoyment,"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi ."
2218,Other,kính thủy lực là kính gì bạn ơi
2219,Sadness,chưa bao giờ được nge câu này 😞
2220,Disgust,nam chính người nào cũng bị bệnh tự luyến nữa :)))))))
2221,Enjoyment,"cũng chuẩn , giờ khởi nghiệp vậy phá sản chỉ mấy tháng đầu"
2222,Disgust,chỗ tao lắm đứa khó chịu vãi
2223,Disgust,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi"
2224,Enjoyment,quá giỏi . đạp đến ngất đi mà không quay đầu . sau này em sẽ thành công . chắc chắn vậy
2225,Disgust,vừa đi về ?? mưa sấp mặt
2226,Enjoyment,bài viết hay quá !
2227,Enjoyment,gì cũng được ?????? dễ vãi
2228,Other,đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???
2229,Enjoyment,ôi cháu taooo =))))
2230,Other,nó chỉ muốn chén mày thôi . thật đấy
2231,Anger,"cô giáo ngu bỏ mẹ , xong được bầy hãm lòn trẻ trâu này nữa , kia là em tao , không biết tao sẽ làm gì bọn khốn nạn này nữa :))"
2232,Sadness,haizzzz đó là 1 câu chuyện khá bùn
2233,Disgust,"chồng này chắc cú có gai ah , mặc quần đéo gì vậy"
2234,Enjoyment,"haa ... haa ... ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui kkk ... !"
2235,Sadness,nhưng nó cười với đứa khác không phải mày .... 💔
2236,Sadness,per anh ơi đừng gym nữa . boxing là đụ rùi :((
2237,Enjoyment,đừng có thấy 6 múi mà ham nha nha 😂😂
2238,Other,thật ra mấy đứa bị chửi nhiều thế này ra đời lại biết cư xử hơn những đứa khác .
2239,Anger,muốn nói bậy ghê :)))) nuôi con chó mà nuôi ra vậy . vừa ôm vừa bị ve
2240,Enjoyment,- mấy bạn đừng có đổ mình nữa nha 😞😞. mình ngại lắm 😞🤣
2241,Enjoyment,tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =))
2242,Enjoyment,chúc mừng các anh . các anh giỏi quá . chuc các anh mạnh khỏe .
2243,Enjoyment,per hóng phim này dụ dỗ mọi người xem tiếp nè anh :v
2244,Sadness,ngày chủ nhiệm cu nhà mình cô nhẹ nhàng nết na lắm mà ! giờ thì sao cô lại hành xử như vậy chứ ! thật buồn !
2245,Enjoyment,"nhớ hồi euro 2012 rực sáng trong màu áo tuyển ý , ghi mấy bàn mà bàn nào cũng thấy phê ."
2246,Enjoyment,đáng yêu vại trời
2247,Disgust,kéo nhau ra toà ly hôn tự nhiên béo ngành thuế
2248,Sadness,ai sẽ cùng tôi mang nỗi đau này cơ chứ
2249,Disgust,ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????
2250,Other,sĩ diện không nội mũ và cái kết dắt xe hết mẹ đoạn đường
2251,Sadness,"vietcombank 1 tháng trừ hết 22k phí inter với mobile banking , dù tháng đó kau chả xài tới cái nào :(("
2252,Sadness,nói thật gia lai nói riêng tây nguyên nói chung xưa nhờ vàng đen '' hồ tiêu ' và vàng trắng ' cao su ' mà người dân có dư cái ăn cái mặt bây giờ thì thua rồi bỏ đi tứ xứ .. một thời
2253,Anger,đúng rồi . trái tim thảo mai này dễ rung động lắm nên các anh hay cả các chị và các bạn đừng thả thính em . em đập cho 😭
2254,Other,nhưng nó lại đéo thích :>
2255,Disgust,ngu thì chết thôi
2256,Sadness,nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭
2257,Disgust,nhớp nhúa
2258,Disgust,"muôn đời không khá được vì cái thói tham vặt , tham lam vô đáy việt nam ạ"
2259,Fear,"ngày xưa đi học gần trường có bày ngỗng , hôm nào nó cũng cà khía rượt tụi học sinh chạy sấp mặt luôn"
2260,Sadness,sao lại bất công thế
2261,Disgust,nó đi theo gái thì co
2262,Sadness,là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥
2263,Disgust,chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án
2264,Sadness,chia buồn cùng nước pháp .
2265,Disgust,con nhà mất dạy
2266,Other,sau này mình có được như vầy không nhỉ 😊
2267,Fear,1 % kìa rồi ra cổng gọi thế nào :))
2268,Enjoyment,lúc dỗi thì càng dễ thương hơn
2269,Sadness,hình vui mà sao đọc lại muốn khóc nhĩ ...
2270,Enjoyment,cách tạo nghiệp chướng nhanh và hiệu quả :))
2271,Sadness,trông mặt buồn chưa kìa per :(
2272,Other,giá như anh được ào rơi về quá khứ ....
2273,Sadness,tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢
2274,Other,đã tới tuổi thay đường ray rồi mà không thay
2275,Fear,chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..
2276,Other,cái quần tà lỏn xanhhhh
2277,Other,thật tình mà nói cao su phát triển đất đồi là sai lầm .
2278,Other,mấy bé đừng tưởng giận lại là ngon ạ :v có khi giận lại xog nó giết luôn đấy :)
2279,Other,per mốt mua son anh sài luôn
2280,Anger,"per bất hạnh thật tao với mày mua bánh ăn chung đi , cóc cần gấu 🤨"
2281,Sadness,tội quá ! nuôi mà không chăm sóc
2282,Disgust,không phải ai cũng vậy nên đừng thấy mập rồi tưởng mình hát hay 😌
2283,Anger,bao giờ mua bánh tặng gấu thì tao mới mua nhá . ở đấy mà chê tao bất hạnh
2284,Fear,rất nguy hiểm nhé nhảy không qua là xác định dập mặt
2285,Anger,đm nhà bà . con gái người ta nuôi lớn không báo đáp được gì đã về làm dâu nhà bà . nó lấy chồng chứ có làm giúp việc cho nhà bà đâu mà hành hạ nó thế .
2286,Fear,"xã hội thật phức tợp , huhu . không muốn sống chung loài người nữa , tao về núi đây"
2287,Sadness,đã khóc . cha mẹ là người luôn yêu thương minh nhất
2288,Disgust,không lo chạy bo đi còn tạo sấm sét doạ người lứa
2289,Enjoyment,ngày xưa đi học đạp xe qua cứ tưởng được quay phim đưa lên truyền hình :))
2290,Disgust,lừa cả tỉ đồng mà đóng phạt 5tr :)) thế này thì răn đe cũng
2291,Enjoyment,hay qua hoc theo cho vui
2292,Disgust,bụng công nhân thành hố chôn lợn dịch
2293,Disgust,tươi ngon sạch sẽ thì đéo thích ăn . cứ thích ăn cút trâu cứt bò
2294,Enjoyment,đáng yêu vậy =)))
2295,Sadness,"per lại nữa , tao dg suy nghĩ có nên đi bằng rap về không"
2296,Fear,nhìn sợ vãi ra
2297,Other,"bởi vậy , nên tỏ ra là 1 người không cảm xúc"
2298,Sadness,cả 1 đời người chẳng mong gì chỉ mong từ đây đến phút cuối vẫn có người không quên mình đã từng tồn tại
2299,Anger,coi mà lộn ruột .
2300,Enjoyment,a per doi dap rat tuyet voi . chuc anh thanh cong trong vu nay .
2301,Enjoyment,dân kinh doanh khoái đi chợ này lắm nè
2302,Sadness,tiếc cho mối tình ấy ....
2303,Surprise,nhanh bất ngờ đấy
2304,Enjoyment,tao cũng phải về mở cho mẹ tao coi 😂😂
2305,Enjoyment,hơi bị nhanh trí :))
2306,Enjoyment,giun này mà xào thêm ít xả ớt thì tuyệt cú mèo 🤣
2307,Enjoyment,cưng xỉu ??
2308,Disgust,"ngày trước cái thằng ngồi cạnh nhờ nó né cái mông để lấy cái bút dưới bàn nó nó đéo né . cuối cùng nó phải lên phòng ý tế băng đầu ( lớp 1 🤣) "" tôi đã nợ chàng trai ấy một cái "" đập đầu "" ""🤣"
2309,Disgust,êu tự ý đụng chạm vào người khác đã là vô duyên hãm lồn rồi . nhất là con gái . bọn này ý thức như đách lol
2310,Sadness,nhớ tới mối tình đơn phương !
2311,Fear,dã man quá ..
2312,Disgust,"nhẹ tay quá phải hơn nữa , may mắn là nó chưa cắn ai hay làm gì ai"
2313,Sadness,per ly trà sen của anh đem qua có ngày nó thành như v đó 😭😭 hức hức ...
2314,Anger,chẳng bù tuổi thơ tao đi học toàn gặp mấy thằng ông nội mắc thần bố . gặp mặt tao là đánh với bắt nạt tao có trò mới là bắt tao ra thử trước bà mẹ nó :))) cái phường bất lương
2315,Enjoyment,per my nè kkk
2316,Other,may không có ai trong nhà
2317,Other,ngồi ăn mà 3 đứa cứ nhìn châm châm thế này sao nuốt nổi ??????
2318,Other,có gì vui không nhỉ
2319,Enjoyment,gắn bó thời sinh viên nè
2320,Disgust,"thôi mày đừng saolol , hoang tưởng thâm niên à , nó mở mồm ra cái là nó đào cả họ hàng mày nên nó chửi cho biết mặt . nhìn lằm nhìn lốn 😒😒"
2321,Enjoyment,"haha dần dần phải kiềm chế , khắc phục sẽ không đáng sợ không bằng vũ lực hành động mà nói đâu chết đó :)) kaka"
2322,Sadness,vì mình chỉ là giờ giải lao trong một hiệp chơi chính của họ
2323,Fear,sợ thế
2324,Enjoyment,hihi mắc cười quá
2325,Enjoyment,"per anh không nặn đi , mai mốt nó sẽ chaii dầy nè hihii :)))"
2326,Other,bn tao vẽ đẹp vãi nhưng nó lại mắc bệnh lười nếu nó vẽ thì nó sẽ vẽ he .. n .... tai :v
2327,Disgust,đi chơi còn bỏ quên cả não ấy
2328,Fear,hú hồn chim én :) nào làm ra này chắc cũng ngáo dữ :) chắc add không sợ nhện :)
2329,Enjoyment,yêu dã man kkk
2330,Disgust,"đất nước bao nhiêu khoản phải tri trả , nhưng phải trả cho một đám cổ động viên quá khích thì quả là không đáng , các cụ đã bảo mọi sự ngu dốt đều phải trá giá bằng tiền mặt , bảo dân trí thấp lại tự ái :))"
